,count_down,movie_title,release_year,tomato_score,lead_role,actor_two,actor_three,actor_four,director,critics_consensus,synopsis,Opening,Studio,Medium
43,97,Men in Black,1997,91,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,Barry Sonnenfeld,"Thanks to a smart script, spectacular set pieces, and charismatic performances from its leads, Men in Black is an entirely satisfying summer blockbuster hit.","They are the best-kept secret in the universe. Working for a highly funded yet unofficial government agency, Kay (Tommy Lee... [More]",JULY,Columbia Pictures / Amblin Entertainment,Live action
44,96,As Good as It Gets,1997,85,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,James L. Brooks,"James L. Brooks and Jack Nicholson, doing what they do best, combine smart dialogue and flawless acting to squeeze fresh entertainment value out of the romantic-comedy genre.","Melvin Udall (Jack Nicholson) is an obsessive-compulsive writer of romantic fiction who's rude to everyone he meets, including his gay... [More]",DECEMBER,TriStar Pictures,Live action
45,95,Austin Powers: International Man of Mystery,1997,73,Mike Myers,Elizabeth Hurley,Michael York,Mimi Rogers,Jay Roach,"A light and goofy comedy which provides laughs, largely due to performances and screenwriting by Myers.","A world-class playboy and part-time special agent, Powers is defrosted after 30 years in a cryogenic freeze to match wits... [More]",MAY,New Line Cinema / Moving Pictures,Live action
46,94,Demolition Man,1993,62,Sylvester Stallone,Wesley Snipes,Sandra Bullock,Nigel Hawthorne,Marco Brambilla,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)... [More]",OCTOBER,Warner Bros. Pictures / Silver Pictures,Live action
47,93,The Thin Red Line,1998,80,Sean Penn,Adrien Brody,Jim Caviezel,Ben Chaplin,Terrence Malick,The Thin Red Line is a daringly philosophical World War II film with an enormous cast of eager stars.,"In 1942, Private Witt (Jim Caviezel) is a U.S. Army absconder living peacefully with the locals of a small South... [More]",DECEMBER,20th Century Fox / Fox 2000 Pictures / Phoenix Pictures,Live action
48,92,The Crow,1994,84,Brandon Lee,Ernie Hudson,Michael Wincott,David Patrick Kelly,Alex Proyas,"Filled with style and dark, lurid energy, The Crow is an action-packed visual feast that also has a soul in the performance of the late Brandon Lee.","The night before his wedding, musician Eric Draven (Brandon Lee) and his fiancée are brutally murdered by members of a... [More]",MAY,Miramax Films,Live action
49,91,Run Lola Run,1998,93,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Armin Rohde,Tom Tykwer,"More fun than a barrel of Jean-Paul Sartre, pic's energy riffs on an engaging love story and really human performances while offering a series of what-ifs and a blood-stirring soundtrack.","In this visually and conceptually impressive film, two-bit Berlin criminal Manni (Moritz Bleibtreu) delivers some smuggled loot for his boss,... [More]",JUNE,Sony Pictures Classics,Live action
50,90,American History X,1998,83,Edward Norton,Edward Furlong,Fairuza Balk,Beverly D'Angelo,Tony Kaye,"American History X doesn't contend with its subject matter as fully as it could, but Edward Norton's performance gives this hard-hitting drama crucial weight.","Living a life marked by violence and racism, neo-Nazi Derek Vinyard (Edward Norton) finally goes to prison after killing two... [More]",OCTOBER,New Line Cinema,Live action
51,89,Three Kings,1999,94,George Clooney,Mark Wahlberg,Ice Cube,Spike Jonze,David O. Russell,"Three Kings successfully blends elements of action, drama, and comedy into a thoughtful, exciting movie on the Gulf War.","Just after the end of the Gulf War, four American soldiers decide to steal a cache of Saddam Hussein's hidden... [More]",OCTOBER,Warner Bros. Pictures / Village Roadshow Pictures,Live action
52,88,From Dusk Till Dawn,1996,63,Harvey Keitel,George Clooney,Quentin Tarantino,Juliette Lewis,Robert Rodriguez,"A pulpy crime drama/vampire film hybrid, From Dusk Till Dawn is an uneven but often deliriously enjoyable B-movie.","On the run from a bank robbery that left several police officers dead, Seth Gecko (George Clooney) and his paranoid,... [More]",,,
53,87,The Nightmare Before Christmas,1993,95,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,Henry Selick,The Nightmare Before Christmas is a stunningly original and visually delightful work of stop-motion animation.,"The film follows the misadventures of Jack Skellington, Halloweentown's beloved pumpkin king, who has become bored with the same annual... [More]",OCTOBER,Walt Disney Pictures / Touchstone Pictures,Animation
54,86,Pi,1998,88,Sean Gullette,Mark Margolis,Ben Shenkman,Pamela Hart,Darren Aronofsky,"Dramatically gripping and frighteningly smart, this Lynchian thriller does wonders with its unlikely subject and shoestring budget.",Numbers whiz Max Cohen (Sean Gullette) is stunted by psychological delusions of paranoia and debilitating headaches. He lives in a... [More],JULY,Artisan Entertainment / Protozoa Pictures,Live action
55,85,"Lock, Stock and Two Smoking Barrels",1998,75,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,Guy Ritchie,"Lock, Stock, and Two Smoking Barrels is a grimy, twisted, and funny twist on the Tarantino hip gangster formula.",Eddy (Nick Moran) convinces three friends to pool funds for a high-stakes poker game against local crime boss Hatchet Harry... [More],MARCH,Summit Entertainment,Live action
56,84,Wayne's World,1992,79,Mike Myers,Dana Carvey,Rob Lowe,Tia Carrere,Penelope Spheeris,"An oddball comedy that revels in its silliness and memorable catch phrases, Wayne's World is also fondly regarded because of its endearing characters.","A big screen spin-off of the ""Saturday Night Live"" skit. Rob Lowe plays a producer that wants to take the... [More]",FEBRUARY,Paramount Pictures,Live action
57,83,Welcome to the Dollhouse,1995,92,Heather Matarazzo,Daria Kalinina,Matthew Faber,Angela Pietropinto,Todd Solondz,"An outstanding sophomore feature, Welcome to the Dollhouse sees writer-director Todd Solondz mining suburban teen angst for black, biting comedy.",Middle-school student Dawn Weiner (Heather Matarazzo) faces degradation at school -- where she is teased constantly -- and at home.... [More],MAY,Sony Pictures Classics,Live action
58,82,Dazed and Confused,1993,92,Jason London,Wiley Wiggins,Sasha Jenson,Rory Cochrane,Richard Linklater,"Featuring an excellent ensemble cast, a precise feel for the 1970s, and a killer soundtrack, Dazed and Confused is a funny, affectionate, and clear-eyed look at high school life.","This coming-of-age film follows the mayhem of group of rowdy teenagers in Austin, Texas, celebrating the last day of high... [More]",SEPTEMBER,Gramercy Pictures,Live action
59,81,The Piano,1993,90,Holly Hunter,Harvey Keitel,Sam Neill,Anna Paquin,Jane Campion,"Powered by Holly Hunter's main performance, The Piano is a truth-seeking romance played in the key of erotic passion.","After a long voyage from Scotland, pianist Ada McGrath (Holly Hunter) and her young daughter, Flora (Anna Paquin), are left... [More]",NOVEMBER,Miramax Films,Live action
60,80,Three Colors: Red,1994,100,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,Krzysztof Kieslowski,"A complex, stirring, and beautifully realized portrait of interconnected lives, Red is the captivating conclusion to a remarkable trilogy.",Part-time model Valentine (Irène Jacob) meets a retired judge (Jean-Louis Trintignant) who lives in her neighborhood after she runs over... [More],,,
61,79,There's Something About Mary,1998,83,Cameron Diaz,Matt Dillon,Ben Stiller,Lee Evans,Bobby Farrelly,"There's Something About Mary proves that unrelentingly, unabashedly peurile humor doesn't necessarily come at the expense of a film's heart.",Ted's (Ben Stiller) dream prom date with Mary (Cameron Diaz) never happens due to an embarrassing injury at her home.... [More],JULY,20th Century Fox,Live action
62,78,Shakespeare in Love,1998,92,Joseph Fiennes,Gwyneth Paltrow,Geoffrey Rush,Judi Dench,John Madden,"Endlessly witty, visually rapturous, and sweetly romantic, Shakespeare in Love is a delightful romantic comedy that succeeds on nearly every level.","""Shakespeare in Love"" is a romantic comedy for the 1990s set in the 1590s. It imaginatively unfolds the witty, sexy... [More]",DECEMBER,Miramax Films / Universal Pictures,Live action
63,77,Braveheart,1995,75,Mel Gibson,Sophie Marceau,Patrick McGoohan,Catherine McCormack,Mel Gibson,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against... [More],MAY,Paramount Pictures / 20th Century Fox / Icon Productions / The Ladd Company,Live action
64,76,The Sandlot,1993,64,Thomas Guiry,Mike Vitar,Patrick Renna,Chauncey Leopardi,David Mickey Evans,"It may be shamelessly derivative and overly nostalgic, but The Sandlot is nevertheless a genuinely sweet and funny coming-of-age adventure.","When Scottie Smalls (Thomas Guiry) moves to a new neighborhood, he manages to make friends with a group of kids... [More]",APRIL,20th Century Fox,Live action
65,75,Out of Sight,1998,94,George Clooney,Jennifer Lopez,Ving Rhames,Don Cheadle,Steven Soderbergh,"Steven Soderbergh's intelligently crafted adaptation of the Elmore Leonard novel is witty, sexy, suprisingly entertaining, and a star-making turn for George Clooney.","Meet Jack Foley (George Clooney), the most successful bank robber in the country. On the day he busts out of... [More]",JUNE,Universal Pictures / Jersey Films,Live action
66,74,Aladdin,1992,95,Scott Weinger,Robin Williams,Linda Larkin,Jonathan Freeman,Ron Clements,"A highly entertaining entry in Disney's renaissance era,"" Aladdin is beautifully drawn, with near-classic songs and a cast of scene-stealing characters.","When street rat Aladdin frees a genie from a lamp, he finds his wishes granted. However, he soon finds that... [More]",NOVEMBER,Walt Disney Pictures,Animation
