,Opening,Title,Studio,Medium
831,DECEMBER,Wayne's World 2,Paramount Pictures,Live action
832,DECEMBER,Attack of the 50 Ft. Woman,HBO Pictures,Live action
833,DECEMBER,Gypsy,CBS / Storyline Entertainment / All Girl Productions / RHI Entertainment,Live action
834,DECEMBER,Schindler's List,Universal Pictures / Amblin Entertainment,Live action
835,DECEMBER,Beethoven's 2nd,Universal Pictures / Northern Lights Entertainment,Live action
836,DECEMBER,The Pelican Brief,Warner Bros. Pictures,Live action
837,DECEMBER,What's Eating Gilbert Grape,Paramount Pictures,Live action
838,DECEMBER,Wrestling Ernest Hemingway,Warner Bros. Pictures,Live action
839,DECEMBER,Philadelphia,TriStar Pictures / A Luta Continuta,Live action
840,DECEMBER,Batman: Mask of the Phantasm,Warner Bros. Pictures / Warner Bros. Animation,Animation
841,DECEMBER,Grumpy Old Men,Warner Bros. Pictures,Live action
842,DECEMBER,Heaven & Earth,Warner Bros. Pictures,Live action
843,DECEMBER,Shadowlands,Savoy Pictures,Live action
844,DECEMBER,Tombstone,Hollywood Pictures / Cinergi Pictures,Live action
845,DECEMBER,Ghost in the Machine,20th Century Fox,Live action
846,DECEMBER,In the Name of the Father,Universal Pictures,Live action
847,JANUARY,The Air Up There,Hollywood Pictures / Interscope Communications,Live action
848,JANUARY,Cabin Boy,Touchstone Pictures,Live action
849,JANUARY,Body Snatchers,Warner Bros. Pictures,Live action
850,JANUARY,House Party 3,New Line Cinema,Live action
851,JANUARY,Iron Will,Walt Disney Pictures,Live action
852,JANUARY,Intersection,Paramount Pictures,Live action
853,JANUARY,Blink,New Line Cinema,Live action
854,JANUARY,"Car 54, Where Are You?",Orion Pictures,Live action
855,JANUARY,The Scent of Green Papaya,First Look International,Live action
856,FEBRUARY,Ace Ventura: Pet Detective,Warner Bros. Pictures / Morgan Creek Productions,Live action
857,FEBRUARY,Gunmen,Dimension Films / Davis Entertainment,Live action
858,FEBRUARY,I'll Do Anything,Columbia Pictures,Live action
859,FEBRUARY,My Father the Hero,Touchstone Pictures,Live action
860,FEBRUARY,Naked,Fine Line Features,Live action
861,FEBRUARY,Romeo Is Bleeding,Gramercy Pictures / PolyGram Filmed Entertainment,Live action
862,FEBRUARY,Blank Check,Walt Disney Pictures,Live action
863,FEBRUARY,The Getaway,Universal Pictures / Largo Entertainment,Live action
864,FEBRUARY,My Girl 2,Columbia Pictures / Imagine Entertainment,Live action
865,FEBRUARY,State of Emergency,HBO Showcase / Chestnut Hill Productions,Live action
866,FEBRUARY,Blue Chips,Paramount Pictures,Live action
867,FEBRUARY,On Deadly Ground,Warner Bros. Pictures / Seagal-Nasso Productions,Live action
868,FEBRUARY,Reality Bites,Universal Pictures / Jersey Films,Live action
869,FEBRUARY,8 Seconds,New Line Cinema / Jersey Films,Live action
870,FEBRUARY,Midnight Cowboy (re-release),United Artists,Live action
871,FEBRUARY,Sugar Hill,20th Century Fox / Beacon Pictures,Live action
872,FEBRUARY,Heaven and Hell: North and South: Book III,ABC / David L. Wolper Productions / Warner Bros. Television,Live action
873,MARCH,Angie,Hollywood Pictures / Caravan Pictures,Live action
874,MARCH,The Chase,20th Century Fox,Live action
875,MARCH,China Moon,Orion Pictures,Live action
876,MARCH,Greedy,Universal Pictures / Imagine Entertainment,Live action
877,MARCH,Sirens,Miramax Films,Live action
878,MARCH,Four Weddings and a Funeral,Gramercy Pictures / PolyGram Filmed Entertainment,Live action
879,MARCH,Guarding Tess,TriStar Pictures,Live action
880,MARCH,The Hudsucker Proxy,Warner Bros. Pictures / Silver Pictures,Live action
881,MARCH,Lightning Jack,Savoy Pictures,Live action
882,MARCH,The Ref,Touchstone Pictures / Don Simpson/Jerry Bruckheimer Films,Live action
883,MARCH,The Silence of the Hams,October Films / Silvio Berlusconi Productions / 30th Century Wolf,Live action
884,MARCH,Bitter Moon,Fine Line Features,Live action
885,MARCH,Monkey Trouble,New Line Cinema,Live action
886,MARCH,"Naked Gun .mw-parser-output .frac{white-space:nowrap}.mw-parser-output .frac .num,.mw-parser-output .frac .den{font-size:80%;line-height:0;vertical-align:super}.mw-parser-output .frac .den{vertical-align:sub}.mw-parser-output .sr-only{border:0;clip:rect(0,0,0,0);height:1px;margin:-1px;overflow:hidden;padding:0;position:absolute;width:1px}33+1⁄3: The Final Insult",Paramount Pictures,Live action
887,MARCH,The Paper,Universal Pictures / Imagine Entertainment,Live action
888,MARCH,Above the Rim,New Line Cinema,Live action
889,MARCH,D2: The Mighty Ducks,Walt Disney Pictures,Live action
890,MARCH,Against the Wall,HBO Pictures,Live action
891,MARCH,Jimmy Hollywood,Paramount Pictures,Live action
892,MARCH,Major League II,Warner Bros. Pictures / Morgan Creek Productions,Live action
893,MARCH,Thumbelina,Warner Bros. Pictures / Don Bluth Entertainment,Animation
894,APRIL,Clifford,Orion Pictures,Live action
895,APRIL,The House of the Spirits,Miramax Films,Live action
896,APRIL,Holy Matrimony,Hollywood Pictures / Interscope Communications,Live action
897,APRIL,Leprechaun 2,Trimark Pictures,Live action
898,APRIL,Red Rock West,Roxie Releasing,Live action
899,APRIL,Threesome,TriStar Pictures,Live action
900,APRIL,Naked in New York,Fine Line Features,Live action
901,APRIL,Serial Mom,Savoy Pictures,Live action
902,APRIL,Backbeat,Gramercy Pictures,Live action
903,APRIL,Cops & Robbersons,TriStar Pictures,Live action
904,APRIL,Surviving the Game,New Line Cinema,Live action
905,APRIL,White Fang 2: Myth of the White Wolf,Walt Disney Pictures,Live action
906,APRIL,Bad Girls,20th Century Fox,Live action
907,APRIL,Brainscan,Triumph Films,Live action
908,APRIL,Chasers,Warner Bros. Pictures / Morgan Creek Productions,Live action
909,APRIL,The Inkwell,Touchstone Pictures,Live action
910,APRIL,The Favor,Orion Pictures,Live action
911,APRIL,No Escape,Savoy Pictures / Columbia Pictures,Live action
912,APRIL,PCU,20th Century Fox,Live action
913,APRIL,When a Man Loves a Woman,Touchstone Pictures,Live action
914,APRIL,With Honors,Warner Bros. Pictures,Live action
915,MAY,3 Ninjas Kick Back,TriStar Pictures,Live action
916,MAY,Being Human,Warner Bros. Pictures,Live action
917,MAY,Clean Slate,Metro-Goldwyn-Mayer / The Zanuck Company,Live action
918,MAY,Dream Lover,Metro-Goldwyn-Mayer / Gramercy Pictures,Live action
919,MAY,Stephen King's The Stand,ABC / CBS Television Distribution / Laurel Entertainment / DawnField Entertainment / Greengrass Productions,Live action
920,MAY,Crooklyn,Universal Pictures / 40 Acres and a Mule Filmworks,Live action
921,MAY,The Crow,Miramax Films,Live action
922,MAY,Widows' Peak,Fine Line Features / Rank Film Distributors / Irish Screen,Live action
923,MAY,Even Cowgirls Get the Blues,Fine Line Features,Live action
924,MAY,Maverick,Warner Bros. Pictures / Icon Productions,Live action
925,MAY,The Return of Jafar,Walt Disney Home Video,Animation
926,MAY,White Mile,HBO Pictures,Live action
927,MAY,Beverly Hills Cop III,Paramount Pictures,Live action
928,MAY,The Flintstones,Universal Pictures / Amblin Entertainment,Live action
929,MAY,Little Buddha,Miramax Films,Live action
930,JUNE,The Cowboy Way,Universal Pictures / Imagine Entertainment,Live action
931,JUNE,The Endless Summer II,New Line Cinema,Live action
932,JUNE,Fear of a Black Hat,The Samuel Goldwyn Company,Live action
933,JUNE,Renaissance Man,Touchstone Pictures / Cinergi Pictures,Live action
934,JUNE,The Princess and the Goblin,Hemdale Film Corporation / J&M Entertainment,Animation
935,JUNE,City Slickers II: The Legend of Curly's Gold,Columbia Pictures / Castle Rock Entertainment,Live action
936,JUNE,Speed,20th Century Fox,Live action
937,JUNE,Getting Even with Dad,Metro-Goldwyn-Mayer,Live action
938,JUNE,Wolf,Columbia Pictures,Live action
939,JUNE,The Lion King,Walt Disney Pictures,Animation
940,JUNE,A Man in Uniform,IRS Media,Live action
941,JUNE,Wyatt Earp,Warner Bros. Pictures / Tig Productions,Live action
942,JUNE,Blind Justice,HBO Pictures,Live action
943,JUNE,I Love Trouble,Touchstone Pictures / Caravan Pictures,Live action
944,JUNE,Little Big League,Columbia Pictures / Castle Rock Entertainment,Live action
945,JULY,Baby's Day Out,20th Century Fox / Hughes Entertainment,Live action
946,JULY,Blown Away,Metro-Goldwyn-Mayer,Live action
947,JULY,The Shadow,Universal Pictures,Live action
948,JULY,Forrest Gump,Paramount Pictures,Live action
949,JULY,That's Entertainment! III,Metro-Goldwyn-Mayer,Live action
950,JULY,Pentathlon,Live Entertainment,Live action
951,JULY,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (re-release),Columbia Pictures / Hawk Films,Live action
952,JULY,Angels in the Outfield,Walt Disney Pictures / Caravan Pictures,Live action
953,JULY,Mi Vida Loca,Sony Pictures,Live action
954,JULY,True Lies,20th Century Fox / Universal Pictures / Lightstorm Entertainment,Live action
955,JULY,The Client,Warner Bros. Pictures / Regency Enterprises,Live action
956,JULY,Dragonworld,Paramount Pictures,Live action
957,JULY,Lassie,Paramount Pictures,Live action
958,JULY,North,Columbia Pictures / Castle Rock Entertainment,Live action
959,JULY,Doomsday Gun,HBO Showcase,Live action
960,JULY,Barcelona,Fine Line Features,Live action
961,JULY,Black Beauty,Warner Bros. Pictures,Live action
962,JULY,Foreign Student,Gramercy Pictures,Live action
963,JULY,It Could Happen to You,TriStar Pictures,Live action
964,JULY,The Mask,New Line Cinema,Live action
965,JULY,Roswell,Showtime Networks / Viacom Pictures / Citadel Entertainment,Live action
966,AUGUST,Clear and Present Danger,Paramount Pictures,Live action
967,AUGUST,Eat Drink Man Woman,The Samuel Goldwyn Company,Live action
968,AUGUST,Airheads,20th Century Fox,Live action
969,AUGUST,The Little Rascals,Universal Pictures / Amblin Entertainment,Live action
970,AUGUST,"The Adventures of Priscilla, Queen of the Desert",Gramercy Pictures,Live action
971,AUGUST,"Corrina, Corrina",New Line Cinema,Live action
972,AUGUST,In the Army Now,Hollywood Pictures,Live action
973,AUGUST,The Next Karate Kid,Columbia Pictures,Live action
974,AUGUST,Andre,Paramount Pictures / The Kushner-Locke Company,Live action
975,AUGUST,Blankman,Columbia Pictures,Live action
976,AUGUST,Color of Night,Hollywood Pictures / Cinergi Pictures,Live action
977,AUGUST,Killing Zoe,October Films,Live action
978,AUGUST,The Enemy Within,HBO Pictures,Live action
979,AUGUST,The Advocate,Miramax Films / BBC / CiBy 2000,Live action
980,AUGUST,Fresh,Miramax Films,Live action
981,AUGUST,Camp Nowhere,Hollywood Pictures,Live action
982,AUGUST,It's Pat,Touchstone Pictures,Live action
983,AUGUST,Natural Born Killers,Warner Bros. Pictures / Regency Enterprises / Ixlitan Productions,Live action
984,AUGUST,Police Academy: Mission to Moscow,Warner Bros. Pictures,Live action
985,AUGUST,"Shake, Rattle and Rock!",Showtime / Spelling Films International,Live action
986,AUGUST,Wagons East!,TriStar Pictures / Carolco Pictures,Live action
987,AUGUST,Milk Money,Paramount Pictures / The Kennedy/Marshall Company,Live action
988,SEPTEMBER,A Simple Twist of Fate,Touchstone Pictures,Live action
989,SEPTEMBER,Scooby-Doo! in Arabian Nights,Turner Entertainment / Hanna-Barbera / Studio B Productions,Animation
990,SEPTEMBER,A Good Man in Africa,Gramercy Pictures,Live action
991,SEPTEMBER,Rapa-Nui,Warner Bros. Pictures / Tig Productions,Live action
992,SEPTEMBER,Trial by Jury,Warner Bros. Pictures / Morgan Creek Productions,Live action
993,SEPTEMBER,What Happened Was,The Samuel Goldwyn Company,Live action
994,SEPTEMBER,Quiz Show,Hollywood Pictures,Live action
995,SEPTEMBER,Blue Sky,Orion Pictures / Metro-Goldwyn-Mayer,Live action
996,SEPTEMBER,The New Age,Warner Bros. Pictures / Regency Enterprises / Alcor Films / Ixtlan,Live action
997,SEPTEMBER,Princess Caraboo,TriStar Pictures / Beacon Pictures,Live action
998,SEPTEMBER,Timecop,Universal Pictures / Largo Entertainment,Live action
999,SEPTEMBER,The Burning Season,HBO Pictures / Warner Bros. Television Distribution,Live action
1000,SEPTEMBER,It Runs in the Family,Metro-Goldwyn-Mayer,Live action
1001,SEPTEMBER,The Shawshank Redemption,Columbia Pictures / Castle Rock Entertainment,Live action
1002,SEPTEMBER,Sleep with Me,United Artists / August Entertainment / Castleberg Production / Paribas Film Corporation,Live action
1003,SEPTEMBER,Terminal Velocity,Hollywood Pictures / Interscope Communications,Live action
1004,SEPTEMBER,Death of a Cheerleader,NBC / Steve White Productions,Live action
1005,SEPTEMBER,Jason's Lyric,Gramercy Pictures / Metro-Goldwyn-Mayer,Live action
1006,SEPTEMBER,Ed Wood,Touchstone Pictures,Live action
1007,SEPTEMBER,The River Wild,Universal Pictures,Live action
1008,SEPTEMBER,The Scout,20th Century Fox,Live action
1009,OCTOBER,Gambler V: Playing for Keeps,CBS / Sony Pictures Television / Ken Kragen Productions / Kenny Rogers Productions / RHI Entertainment / World International Network,Live action
1010,OCTOBER,Only You,TriStar Pictures,Live action
1011,OCTOBER,The Specialist,Warner Bros. Pictures,Live action
1012,OCTOBER,A Troll in Central Park,Warner Bros. Pictures / Don Bluth Entertainment,Animation
1013,OCTOBER,The Browning Version,Paramount Pictures,Live action
1014,OCTOBER,Exit to Eden,Savoy Pictures,Live action
1015,OCTOBER,Hoop Dreams,Fine Line Features,Live action
1016,OCTOBER,Imaginary Crimes,Warner Bros. Pictures,Live action
1017,OCTOBER,I Like It Like That,Columbia Pictures,Live action
1018,OCTOBER,Little Giants,Warner Bros. Pictures / Amblin Entertainment,Live action
1019,OCTOBER,Pulp Fiction,Miramax Films,Live action
1020,OCTOBER,Wes Craven's New Nightmare,New Line Cinema,Live action
1021,OCTOBER,Clerks,Miramax Films / View Askew Productions,Live action
1022,OCTOBER,Vanya on 42nd Street,Sony Pictures Classics,Live action
1023,OCTOBER,Bullets over Broadway,Miramax Films,Live action
1024,OCTOBER,Love Affair,Warner Bros. Pictures,Live action
1025,OCTOBER,The Puppet Masters,Hollywood Pictures,Live action
1026,OCTOBER,Radioland Murders,Universal Pictures,Live action
1027,OCTOBER,The Last Seduction,October Films,Live action
1028,OCTOBER,Drop Squad,Gramercy Pictures,Live action
1029,OCTOBER,The Road to Wellville,Columbia Pictures / Beacon Pictures,Live action
1030,OCTOBER,Silent Fall,Warner Bros. Pictures / Morgan Creek Productions,Live action
1031,OCTOBER,Squanto: A Warrior's Tale,Walt Disney Pictures,Live action
1032,OCTOBER,Stargate,Metro-Goldwyn-Mayer / Carolco Pictures,Live action
1033,NOVEMBER,Double Dragon,Gramercy Pictures / Imperial Entertainment,Live action
1034,NOVEMBER,Mary Shelley's Frankenstein,TriStar Pictures / American Zoetrope,Live action
1035,NOVEMBER,Oleanna,The Samuel Goldwyn Company,Live action
1036,NOVEMBER,Pontiac Moon,Paramount Pictures,Live action
1037,NOVEMBER,The War,Universal Pictures,Live action
1038,NOVEMBER,In Search of Dr. Seuss,TNT / Turner Home Entertainment / Warner Bros. Television Distribution,Live action / Animation
1039,NOVEMBER,Interview with the Vampire: The Vampire Chronicles,Warner Bros. Pictures,Live action
1040,NOVEMBER,The Santa Clause,Walt Disney Pictures / Hollywood Pictures,Live action
1041,NOVEMBER,Heavenly Creatures,Miramax Films,Live action
1042,NOVEMBER,Miracle on 34th Street,20th Century Fox / Hughes Entertainment,Live action
1043,NOVEMBER,Léon: The Professional,Columbia Pictures,Live action
1044,NOVEMBER,Star Trek Generations,Paramount Pictures,Live action
1045,NOVEMBER,The Swan Princess,New Line Cinema / Nest Family Entertainment,Animation
1046,NOVEMBER,How the West Was Fun,ABC / Warner Bros. Domestic Television Distribution / Dualstar Productions / Green/Epstein Productions / Kicking Horse Productions Ltd.,Live action
1047,NOVEMBER,Junior,Universal Pictures / Northern Lights Entertainment,Live action
1048,NOVEMBER,Love and a .45,Trimark Pictures,Live action
1049,NOVEMBER,A Low Down Dirty Shame,Hollywood Pictures / Caravan Pictures,Live action
1050,NOVEMBER,Mrs. Parker and the Vicious Circle,Fine Line Features,Live action
1051,NOVEMBER,The Pagemaster,20th Century Fox,Live action/ Animation
1052,NOVEMBER,Fatherland,HBO Pictures,Live action
1053,DECEMBER,Cobb,Warner Bros. Pictures / Regency Enterprises,Live action
1054,DECEMBER,Tom & Viv,Miramax Films,Live action
1055,DECEMBER,Trapped in Paradise,20th Century Fox,Live action
1056,DECEMBER,Disclosure,Warner Bros. Pictures,Live action
1057,DECEMBER,Drop Zone,Paramount Pictures,Live action
1058,DECEMBER,Witch Hunt,HBO Pictures / Pacific Western,Live action
1059,DECEMBER,Dumb and Dumber,New Line Cinema,Live action
1060,DECEMBER,Immortal Beloved,Columbia Pictures / Icon Productions,Live action
1061,DECEMBER,Speechless,Metro-Goldwyn-Mayer,Live action
1062,DECEMBER,Little Women,Columbia Pictures,Live action
1063,DECEMBER,Mixed Nuts,TriStar Pictures,Live action
1064,DECEMBER,Richie Rich,Warner Bros. Pictures / Silver Pictures,Live action
1065,DECEMBER,Death and the Maiden,Fine Line Features,Live action
1066,DECEMBER,Legends of the Fall,TriStar Pictures,Live action
1067,DECEMBER,Nell,20th Century Fox,Live action
1068,DECEMBER,Nobody's Fool,Paramount Pictures,Live action
1069,DECEMBER,Ready to Wear (Prêt-à-Porter),Miramax Films,Live action
1070,DECEMBER,Street Fighter,Universal Pictures / Columbia Pictures,Live action
1071,DECEMBER,I.Q.,Paramount Pictures,Live action
1072,DECEMBER,The Jungle Book,Walt Disney Pictures,Live action
1073,DECEMBER,The Madness of King George,The Samuel Goldwyn Company,Live action
1074,JANUARY,Houseguest,Hollywood Pictures / Caravan Pictures,Live action
1075,JANUARY,Safe Passage,New Line Cinema,Live action
1076,JANUARY,Higher Learning,Columbia Pictures,Live action
1077,JANUARY,Far from Home: The Adventures of Yellow Dog,20th Century Fox,Live action
1078,JANUARY,Tales from the Crypt presents Demon Knight,Universal Pictures,Live action
1079,JANUARY,Murder in the First,Warner Bros. Pictures,Live action
1080,JANUARY,S.F.W.,Gramercy Pictures,Live action
1081,JANUARY,Before Sunrise,Columbia Pictures / Castle Rock Entertainment,Live action
1082,JANUARY,Highlander: The Final Dimension,Dimension Films,Live action
1083,JANUARY,Miami Rhapsody,Hollywood Pictures,Live action
1084,JANUARY,Gargoyles the Movie: The Heroes Awaken,Buena Vista Home Video / Walt Disney Television Animation,Animation
1085,FEBRUARY,Boys on the Side,Warner Bros. Pictures / Regency Enterprises,Live action
1086,FEBRUARY,In the Mouth of Madness,New Line Cinema,Live action
1087,FEBRUARY,The Jerky Boys: The Movie,Caravan Pictures,Live action
1088,FEBRUARY,The Secret of Roan Inish,First Look Pictures,Live action
1089,FEBRUARY,Serving in Silence: The Margarethe Cammermeyer Story,NBC / TriStar Television / Barwood Films / Storyline Productions / Trillium Productions,Live action
1090,FEBRUARY,Billy Madison,Universal Pictures,Live action
1091,FEBRUARY,The Quick and the Dead,TriStar Pictures,Live action
1092,FEBRUARY,Shallow Grave,Gramercy Pictures / PolyGram Filmed Entertainment,Live action
1093,FEBRUARY,The Brady Bunch Movie,Paramount Pictures / The Ladd Company,Live action
1094,FEBRUARY,Heavyweights,Walt Disney Pictures / Caravan Pictures,Live action
1095,FEBRUARY,Just Cause,Warner Bros. Pictures,Live action
1096,FEBRUARY,Mr. Payback: An Interactive Movie,Sony New Technologies / Interfilm Technologies,Live action
1097,FEBRUARY,The Hunted,Universal Pictures,Live action
1098,FEBRUARY,The Walking Dead,Savoy Pictures,Live action
1099,FEBRUARY,Citizen X,HBO Pictures / Citadel Entertainment,Live action
1100,MARCH,Hideaway,TriStar Pictures,Live action
1101,MARCH,Man of the House,Walt Disney Pictures,Live action
1102,MARCH,The Mangler,New Line Cinema,Live action
1103,MARCH,Roommates,Hollywood Pictures / Interscope Communications,Live action
1104,MARCH,The Wild Bunch (re-release),Warner Bros. Pictures,Live action
1105,MARCH,The Good Old Boys,Turner Pictures / TNT,Live action
1106,MARCH,3 Ninjas Knuckle Up,TriStar Pictures,Live action
1107,MARCH,Muriel's Wedding,Miramax Films,Live action
1108,MARCH,Outbreak,Warner Bros. Pictures,Live action
1109,MARCH,Bye Bye Love,20th Century Fox,Live action
1110,MARCH,Candyman: Farewell to the Flesh,Gramercy Pictures / Propaganda Films,Live action
1111,MARCH,Losing Isaiah,Paramount Pictures,Live action
1112,MARCH,In Pursuit of Honor,HBO Pictures,Live action
1113,MARCH,Dolores Claiborne,Columbia Pictures / Castle Rock Entertainment,Live action
1114,MARCH,Exotica,Miramax Films,Live action
1115,MARCH,Major Payne,Universal Pictures,Live action
1116,MARCH,Tall Tale,Walt Disney Pictures / Caravan Pictures,Live action
1117,MARCH,Born to Be Wild,Warner Bros. Pictures,Live action
1118,MARCH,Bulletproof Heart,Republic Pictures / Keystone Film Company,Live action
1119,MARCH,Funny Bones,Hollywood Pictures,Live action
1120,MARCH,Jefferson in Paris,Touchstone Pictures,Live action
1121,MARCH,Tank Girl,United Artists,Live action
1122,MARCH,Tommy Boy,Paramount Pictures,Live action
1123,APRIL,An Awfully Big Adventure,Fine Line Features,Live action
1124,APRIL,Bad Boys,Columbia Pictures / Don Simpson/Jerry Bruckheimer Films,Live action
1125,APRIL,Circle of Friends,Savoy Pictures,Live action
1126,APRIL,Don Juan DeMarco,New Line Cinema / American Zoetrope,Live action
1127,APRIL,A Goofy Movie,Walt Disney Pictures,Animation
1128,APRIL,Rob Roy,United Artists,Live action
1129,APRIL,Jury Duty,TriStar Pictures,Live action
1130,APRIL,The Pebble and the Penguin,Metro-Goldwyn-Mayer / Don Bluth Entertainment,Animation
1131,APRIL,Stuart Saves His Family,Paramount Pictures,Live action
1132,APRIL,James A. Michener's Texas,ABC / Branded Productions / Spelling Entertainment,Live action
1133,APRIL,New Jersey Drive,Gramercy Pictures / 40 Acres and a Mule Filmworks,Live action
1134,APRIL,The Basketball Diaries,New Line Cinema / Island Pictures,Live action
1135,APRIL,The Cure,Universal Pictures,Live action
1136,APRIL,Kiss of Death,20th Century Fox,Live action
1137,APRIL,Swimming with Sharks,Trimark Pictures,Live action
1138,APRIL,While You Were Sleeping,Hollywood Pictures / Caravan Pictures,Live action
1139,APRIL,Friday,New Line Cinema,Live action
1140,APRIL,Crumb,Sony Pictures Classics,Live action
1141,APRIL,Destiny Turns on the Radio,Savoy Pictures,Live action
1142,APRIL,A Pyromaniac's Love Story,Hollywood Pictures,Live action
1143,APRIL,Top Dog,Live Entertainment,Live action
1144,APRIL,The Underneath,Universal Pictures / Gramercy Pictures,Live action
1145,APRIL,Village of the Damned,Universal Pictures,Live action
1146,APRIL,Escape to Witch Mountain,ABC / Walt Disney Television / Buena Vista Television,Live action
1147,APRIL,Tyson,HBO Pictures,Live action
1148,MAY,My Family,New Line Cinema,Live action
1149,MAY,Panther,PolyGram Filmed Entertainment / Gramercy Pictures,Live action
1150,MAY,French Kiss,20th Century Fox / PolyGram Filmed Entertainment,Live action
1151,MAY,Freaky Friday,ABC / Walt Disney Television,Live action
1152,MAY,Crimson Tide,Hollywood Pictures / Don Simpson/Jerry Bruckheimer Films,Live action
1153,MAY,The Englishman Who Went up a Hill but Came down a Mountain,Miramax Films,Live action
1154,MAY,Gordy,Miramax Films / RAS Entertainment Ltd. / Robson Entertainment,Live action
1155,MAY,The Perez Family,The Samuel Goldwyn Company,Live action
1156,MAY,Problem Child 3: Junior in Love,NBC / Telvan Productions / The Robert Simonds Company / MTE,Live action
1157,MAY,Stephen King's The Langoliers,ABC / Laurel Entertainment,Live action
1158,MAY,The City of Lost Children,Sony Pictures Classics,Live action
1159,MAY,Die Hard with a Vengeance,20th Century Fox / Touchstone Pictures / Cinergi Pictures,Live action
1160,MAY,Forget Paris,Columbia Pictures / Castle Rock Entertainment,Live action
1161,MAY,Little Odessa,Fine Line Features,Live action
1162,MAY,A Little Princess,Warner Bros. Pictures,Live action
1163,MAY,Indictment: The McMartin Trial,HBO Pictures,Live action
1164,MAY,Above Suspicion,HBO Pictures / Rysher Entertainment,Live action
1165,MAY,Braveheart,Paramount Pictures / 20th Century Fox / Icon Productions / The Ladd Company,Live action
1166,MAY,Tales from the Hood,Savoy Pictures,Live action
1167,MAY,Casper,Universal Pictures / The Harvey Entertainment Company / Amblin Entertainment,Live action/Animation
1168,MAY,Johnny Mnemonic,TriStar Pictures,Live action
1169,MAY,Mad Love,Touchstone Pictures,Live action
1170,JUNE,The Bridges of Madison County,Warner Bros. Pictures / Amblin Entertainment,Live action
1171,JUNE,Fluke,Metro-Goldwyn-Mayer,Live action
1172,JUNE,The Glass Shield,Miramax Films,Live action
1173,JUNE,Congo,Paramount Pictures / The Kennedy/Marshall Company,Live action
1174,JUNE,Party Girl,First Look Pictures,Live action
1175,JUNE,Smoke,Miramax Films,Live action
1176,JUNE,Wigstock: The Movie,The Samuel Goldwyn Company,Live action
1177,JUNE,Batman Forever,Warner Bros. Pictures,Live action
1178,JUNE,The Incredibly True Adventure of Two Girls in Love,New Line Cinema,Live action
1179,JUNE,Pocahontas,Walt Disney Pictures,Animation
1180,JUNE,Safe,Sony Pictures Classics,Live action
1181,JUNE,Sister My Sister,NFH Productions,Live action
1182,JUNE,The Infiltrator,HBO Showcase,Live action
1183,JUNE,Leprechaun 3,Trimark Pictures / Vidmark Entertainment / Blue Rider Productions,Live action
1184,JUNE,Belle de Jour (re-release),Miramax Films,Live action
1185,JUNE,Apollo 13,Universal Pictures / Imagine Entertainment,Live action
1186,JUNE,Judge Dredd,Hollywood Pictures / Cinergi Pictures,Live action
1187,JUNE,Mighty Morphin Power Rangers: The Movie,20th Century Fox,Live action
1188,JUNE,,,
1189,JULY,First Knight,Columbia Pictures / Zucker Brothers Productions,Live action
1190,JULY,Species,Metro-Goldwyn-Mayer,Live action
1191,JULY,Darkman II: The Return of Durant,MCA Universal Home Video / Renaissance Pictures,Live action
1192,JULY,Nine Months,20th Century Fox / 1492 Pictures,Live action
1193,JULY,The Indian in the Cupboard,Columbia Pictures / Paramount Pictures / The Kennedy/Marshall Company,Live action
1194,JULY,Under Siege 2: Dark Territory,Warner Bros. Pictures / Regency Enterprises,Live action
1195,JULY,Clueless,Paramount Pictures,Live action
1196,JULY,Free Willy 2: The Adventure Home,Warner Bros. Pictures / Regency Enterprises,Live action
1197,JULY,Living in Oblivion,Sony Pictures Classics,Live action
1198,JULY,Country Life,Miramax Films / Umbrella Entertainment,Live action
1199,JULY,Double Happiness,Fine Line Features,Live action
1200,JULY,Kids,Vidmark Entertainment,Live action
1201,JULY,The Net,Columbia Pictures,Live action
1202,JULY,Operation Dumbo Drop,Walt Disney Pictures / Interscope Communications,Live action
1203,JULY,Waterworld,Universal Pictures,Live action
1204,AUGUST,Babe,Universal Pictures,Live action
1205,AUGUST,Bushwhacked,20th Century Fox,Live action
1206,AUGUST,Something to Talk About,Warner Bros. Pictures,Live action
1207,AUGUST,Virtuosity,Paramount Pictures,Live action
1208,AUGUST,The Brothers McMullen,Fox Searchlight Pictures,Live action
1209,AUGUST,Dangerous Minds,Hollywood Pictures / Don Simpson/Jerry Bruckheimer Films,Live action
1210,AUGUST,A Kid in King Arthur's Court,Walt Disney Pictures / Tapestry Films / Trimark Pictures,Live action
1211,AUGUST,Unzipped,Miramax Films,Live action
1212,AUGUST,A Walk in the Clouds,20th Century Fox,Live action
1213,AUGUST,The Baby-Sitters Club,Columbia Pictures / Beacon Pictures,Live action
1214,AUGUST,Mortal Kombat,New Line Cinema,Live action
1215,AUGUST,The Amazing Panda Adventure,Warner Bros. Pictures,Live action
1216,AUGUST,Beyond Rangoon,Columbia Pictures / Castle Rock Entertainment,Live action
1217,AUGUST,Desperado,Columbia Pictures,Live action
1218,AUGUST,Dr. Jekyll and Ms. Hyde,Savoy Pictures,Live action
1219,AUGUST,Lord of Illusions,United Artists,Live action
1220,AUGUST,The Thief and the Cobbler,Miramax Films,Animation
1221,AUGUST,The Tuskegee Airmen,HBO Pictures / Price Entertainment,Live action
