,Opening,Title,Studio,Medium
224,FEBRUARY,Bride of Re-Animator,50th Street Films / Wild Street Pictures / Re-Animator II Productions,Live action
225,FEBRUARY,"He Said, She Said",Paramount Pictures,Live action
226,FEBRUARY,Scenes from a Mall,Touchstone Pictures,Live action
227,MARCH,The Doors,TriStar Pictures / Carolco Pictures,Live action
228,MARCH,My Heroes Have Always Been Cowboys,The Samuel Goldwyn Company,Live action
229,MARCH,Shipwrecked,Walt Disney Pictures,Live action
230,MARCH,Closet Land,Universal Pictures,Live action
231,MARCH,American Ninja 4: The Annihilation,Cannon Group,Live action
232,MARCH,The Hard Way,Universal Pictures / The Badham/Cohen Group,Live action
233,MARCH,La Femme Nikita,Gaumont Film Company,Live action
234,MARCH,New Jack City,Warner Bros. Pictures,Live action
235,MARCH,Class Action,20th Century Fox,Live action
236,MARCH,Guilty by Suspicion,Warner Bros. Pictures,Live action
237,MARCH,If Looks Could Kill,Warner Bros. Pictures,Live action
238,MARCH,The Perfect Weapon,Paramount Pictures,Live action
239,MARCH,True Colors,Paramount Pictures,Live action
240,MARCH,The Josephine Baker Story,HBO Pictures / Anglia Television / Sonar Entertainment,Live action
241,MARCH,Defending Your Life,Warner Bros. Pictures,Live action
242,MARCH,Mister Johnson,20th Century Fox,Live action
243,MARCH,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,New Line Cinema,Live action
244,MARCH,Career Opportunities,Universal Pictures / Hughes Entertainment,Live action
245,MARCH,The Comfort of Strangers,Skouras Pictures,Live action
246,MARCH,The Five Heartbeats,20th Century Fox,Live action
247,APRIL,Hangin' with the Homeboys,New Line Cinema,Live action
248,APRIL,The Marrying Man,Hollywood Pictures,Live action
249,APRIL,Impromptu,Sovereign Pictures,Live action
250,APRIL,Out for Justice,Warner Bros. Pictures,Live action
251,APRIL,Drop Dead Fred,New Line Cinema,Live action
252,APRIL,Mortal Thoughts,Columbia Pictures / New Visions Entertainment,Live action
253,APRIL,One Man's War,HBO Showcase,Live action
254,APRIL,A Kiss Before Dying,Universal Pictures,Live action
255,APRIL,Oscar,Touchstone Pictures,Live action
256,APRIL,Spartacus (restored version) (re-release),Universal Pictures,Live action
257,APRIL,Talent for the Game,Paramount Pictures,Live action
258,APRIL,Toy Soldiers,TriStar Pictures,Live action
259,MAY,"Child of Darkness, Child of Light",USA Network / Wilshire Court Productions / G.C. Group,Live action
260,MAY,Citizen Kane (re-release),Warner Bros. Pictures / RKO Radio Pictures,Live action
261,MAY,One Good Cop,Hollywood Pictures,Live action
262,MAY,A Rage in Harlem,Miramax Films,Live action
263,MAY,"Truly, Madly, Deeply",The Samuel Goldwyn Company,Live action
264,MAY,The Haunted,20th Century Fox Television,Live action
265,MAY,Stephen King's Sometimes They Come Back,CBS / Come Back Productions / Dino de Laurentiis Communications / Paradise Films,Live action
266,MAY,F/X2,Orion Pictures,Live action
267,MAY,Madonna: Truth or Dare,Miramax Films,Live action
268,MAY,Sweet Talker,New Line Cinema,Live action
269,MAY,Switch,HBO / Warner Bros. Pictures,Live action
270,MAY,Fever,HBO Pictures,Live action
271,MAY,What About Bob?,Touchstone Pictures,Live action
272,MAY,Mannequin Two: On the Move,20th Century Fox / Gladden Entertainment,Live action
273,MAY,Knight Rider 2000,NBC Productions / Charles E. Seller Productions / River Rock Productions / Universal Television,Live action
274,MAY,Omen IV: The Awakening,20th Century Fox Television / FNM Films / Harvey Bernhard Productions / Mace Neufeld Productions,Live action
275,MAY,Backdraft,Universal Pictures / Imagine Entertainment,Live action
276,MAY,Hudson Hawk,TriStar Pictures,Live action
277,MAY,Only the Lonely,20th Century Fox / Hughes Entertainment,Live action
278,MAY,Thelma & Louise,Metro-Goldwyn-Mayer,Live action
279,MAY,Wild Hearts Can't Be Broken,Walt Disney Pictures,Live action
280,MAY,Soapdish,Paramount Pictures,Live action
281,JUNE,City Slickers,Columbia Pictures / Castle Rock Entertainment,Live action
282,JUNE,Don't Tell Mom the Babysitter's Dead,Warner Bros. Pictures,Live action
283,JUNE,Jungle Fever,Universal Pictures / 40 Acres and a Mule Filmworks,Live action
284,JUNE,Robin Hood: Prince of Thieves,Warner Bros. Pictures / Morgan Creek Productions,Live action
285,JUNE,Without Warning: The James Brady Story,HBO Pictures / Enigma Productions,Live action
286,JUNE,Dying Young,20th Century Fox,Live action
287,JUNE,The Rocketeer,Walt Disney Pictures,Live action
288,JUNE,Where Angels Fear to Tread,Fine Line Features,Live action
289,JUNE,The Naked Gun 2½: The Smell of Fear,Paramount Pictures,Live action
290,JUNE,,,
291,JULY,Problem Child 2,Universal Pictures / Imagine Entertainment,Live action
292,JULY,Terminator 2: Judgment Day,TriStar Pictures / Carolco Pictures,Live action
293,JULY,Slacker,Orion Classics,Live action
294,JULY,101 Dalmatians (re-release),Walt Disney Pictures,Animation
295,JULY,Boyz n the Hood,Columbia Pictures,Live action
296,JULY,Point Break,20th Century Fox / Largo Entertainment,Live action
297,JULY,Regarding Henry,Paramount Pictures,Live action
298,JULY,Bill & Ted's Bogus Journey,Orion Pictures / Nelson Entertainment,Live action
299,JULY,Dutch,20th Century Fox / Hughes Entertainment,Live action
300,JULY,Doublecrossed,HBO Pictures,Live action
301,JULY,The Doctor,Touchstone Pictures,Live action
302,JULY,Another You,TriStar Pictures,Live action
303,JULY,Life Stinks,Metro-Goldwyn-Mayer,Live action
304,JULY,Mobsters,Universal Pictures,Live action
305,JULY,V.I. Warshawski,Hollywood Pictures,Live action
306,JULY,A Brighter Summer Day,Cine Qua Non Films,Live action
307,JULY,Fast Getaway,New Line Cinema / CineTel Films,Live action
308,JULY,Hot Shots!,20th Century Fox,Live action
309,AUGUST,Body Parts,Paramount Pictures,Live action
310,AUGUST,Doc Hollywood,Warner Bros. Pictures,Live action
311,AUGUST,Rover Dangerfield,Warner Bros. Pictures,Animation
312,AUGUST,Return to the Blue Lagoon,Columbia Pictures,Live action
313,AUGUST,Bingo,TriStar Pictures,Live action
314,AUGUST,Delirious,Metro-Goldwyn-Mayer,Live action
315,AUGUST,Double Impact,Columbia Pictures/ Metro-Goldwyn-Mayer,Live action
316,AUGUST,Pure Luck,Universal Pictures,Live action
317,AUGUST,The Commitments,20th Century Fox / Beacon Pictures,Live action
318,AUGUST,Mystery Date,Orion Pictures,Live action
319,AUGUST,Women & Men 2,HBO Showcase,Live action
320,AUGUST,Barton Fink,20th Century Fox,Live action
321,AUGUST,Dead Again,Paramount Pictures,Live action
322,AUGUST,Defenseless,New Visions Pictures / Seven Arts,Live action
323,AUGUST,Harley Davidson and the Marlboro Man,Metro-Goldwyn-Mayer,Live action
324,AUGUST,High Heels,El Deseo,Live action
325,AUGUST,Showdown in Little Tokyo,Warner Bros. Pictures,Live action
326,AUGUST,Beastmaster 2: Through the Portal of Time,New Line Cinema / Republic Pictures,Live action
327,AUGUST,Child's Play 3,Universal Pictures,Live action
328,SEPTEMBER,Company Business,Metro-Goldwyn-Mayer,Live action
329,SEPTEMBER,Cast a Deadly Spell,HBO Pictures / Pacific Western,Live action
330,SEPTEMBER,Dogfight,Warner Bros. Pictures,Live action
331,SEPTEMBER,Freddy's Dead: The Final Nightmare,New Line Cinema,Live action
332,SEPTEMBER,Liebestraum,Metro-Goldwyn-Mayer,Live action
333,SEPTEMBER,Mississippi Masala,Metro-Goldwyn-Mayer,Live action
334,SEPTEMBER,Paradise,Touchstone Pictures,Live action
335,SEPTEMBER,The Fisher King,TriStar Pictures,Live action
336,SEPTEMBER,The Indian Runner,Metro-Goldwyn-Mayer,Live action
337,SEPTEMBER,Late for Dinner,Columbia Pictures / Castle Rock Entertainment / New Line Cinema,Live action
338,SEPTEMBER,McBain,Marble Hall / Shapiro-Glickenhaus Entertainment,Live action
339,SEPTEMBER,Rambling Rose,Carolco Pictures,Live action
340,SEPTEMBER,Deceived,Touchstone Pictures,Live action
341,SEPTEMBER,Necessary Roughness,Paramount Pictures,Live action
342,SEPTEMBER,Wedlock,HBO Pictures / Spectacor Films,Live action
343,OCTOBER,The Man in the Moon,Metro-Goldwyn-Mayer,Live action
344,OCTOBER,Ricochet,Warner Bros. Pictures / HBO Pictures / Silver Pictures,Live action
345,OCTOBER,Shout,Universal Pictures,Live action
