,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross,Opening,Studio,Medium,tomato_score
49,Pulp Fiction,1994,R,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,154,Crime,94,8.9,"2,043,225",107.93,OCTOBER,Miramax Films,Live action,92
50,Toy Story,1995,G,John Lasseter,Tom Hanks,Tim Allen,Don Rickles,Jim Varney,81,Animation,95,8.3,"991,685",191.8,NOVEMBER,Walt Disney Pictures,Animation,100
51,Batman Forever,1995,PG-13,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,121,Action,51,5.4,"254,459",184.03,JUNE,Warner Bros. Pictures,Live action,39
52,Apollo 13,1995,PG,Ron Howard,Tom Hanks,Bill Paxton,Kevin Bacon,Gary Sinise,140,Adventure,77,7.7,"296,619",173.84,JUNE,Universal Pictures,Live action,96
53,Pocahontas,1995,G,Mike Gabriel,Eric Goldberg,Mel Gibson,Linda Hunt,Christian Bale,81,Animation,58,6.7,"188,850",141.6,JUNE,Walt Disney Pictures,Animation,55
54,Ace Ventura: When Nature Calls,1995,PG-13,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,90,Adventure,45,6.4,"219,319",108.39,NOVEMBER,Warner Bros. Pictures,Live action,21
55,GoldenEye,1995,PG-13,Martin Campbell,Pierce Brosnan,Sean Bean,Izabella Scorupco,Famke Janssen,130,Action,65,7.2,"258,722",106.6,NOVEMBER,United Artists,Live action,80
56,Jumanji,1995,PG,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,104,Adventure,39,7,"347,394",100.48,DECEMBER,TriStar Pictures,Live action,52
57,Casper,1995,PG,Brad Silberling,Bill Pullman,Christina Ricci,Cathy Moriarty,Eric Idle,100,Comedy,49,6.1,"136,380",100.33,MAY,Universal Pictures,Live action/Animation,51
58,Se7en,1995,R,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,127,Crime,65,8.6,"1,645,175",100.13,SEPTEMBER,New Line Cinema,,82
59,Die Hard with a Vengeance,1995,R,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,128,Action,58,7.6,"388,664",100.01,MAY,20th Century Fox,Live action,58
60,Independence Day,1996,PG-13,Roland Emmerich,Will Smith,Bill Pullman,Jeff Goldblum,Mary McDonnell,145,Action,59,7,"576,567",306.17,JULY,20th Century Fox,Live action,67
61,Twister,1996,PG-13,Jan de Bont,Helen Hunt,Bill Paxton,Cary Elwes,Jami Gertz,113,Action,68,6.4,"198,092",241.72,MAY,Warner Bros. Pictures,Live action,63
62,Mission: Impossible,1996,PG-13,Brian De Palma,Tom Cruise,Jon Voight,Emmanuelle Béart,Henry Czerny,110,Action,59,7.1,"427,824",180.98,MAY,Paramount Pictures,Live action,66
63,Jerry Maguire,1996,R,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger,Kelly Preston,139,Comedy,77,7.3,"268,132",153.95,DECEMBER,TriStar Pictures,Live action,84
64,Ransom,1996,R,Ron Howard,Mel Gibson,Gary Sinise,Rene Russo,Brawley Nolte,121,Action,60,6.7,"129,513",136.49,NOVEMBER,Touchstone Pictures,Live action,74
65,101 Dalmatians,1996,G,Stephen Herek,Glenn Close,Jeff Daniels,Joely Richardson,Joan Plowright,103,Adventure,49,5.7,"112,162",136.19,NOVEMBER,Walt Disney Pictures,Live action,41
66,The Rock,1996,R,Michael Bay,Sean Connery,Nicolas Cage,Ed Harris,John Spencer,136,Action,58,7.4,"339,850",134.07,JUNE,Hollywood Pictures,Live action,68
67,The Nutty Professor,1996,PG-13,Tom Shadyac,Eddie Murphy,Jada Pinkett Smith,James Coburn,Larry Miller,95,Comedy,62,5.7,"118,058",128.81,JUNE,Universal Pictures,Live action,64
68,The Birdcage,1996,R,Mike Nichols,Robin Williams,Nathan Lane,Gene Hackman,Dianne Wiest,117,Comedy            ,72,7.2,"91,038",124.06,MARCH,United Artists,Live action,82
69,A Time to Kill,1996,R,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson,Kevin Spacey,149,Crime,54,7.5,"162,576",108.77,JULY,Warner Bros. Pictures,Live action,68
70,Titanic,1997,PG-13,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,194,Drama,75,7.9,"1,169,765",659.33,DECEMBER,20th Century Fox,Live action,87
71,Men in Black,1997,PG-13,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,98,Action,71,7.3,"569,851",250.69,JULY,Columbia Pictures,Live action,91
72,The Lost World: Jurassic Park,1997,PG-13,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn,129,Action,59,6.5,"419,357",229.09,MAY,Universal Pictures,Live action,54
