,index,movie_title,release_year,movie_rating,director,star_one,star_two,star_three,star_four,movie_length,genre,imdb_metascore,imdb_stars,imdb_votes,imdb_gross,Opening,Studio,Medium
71,8,Men in Black,1997,PG-13,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio,98,"Action, Adventure, Comedy            ",71,7.3,"569,851",250.69,JULY,Columbia Pictures / Amblin Entertainment,Live action
72,11,The Lost World: Jurassic Park,1997,PG-13,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn,129,"Action, Adventure, Sci-Fi            ",59,6.5,"419,357",229.09,MAY,Universal Pictures / Amblin Entertainment,Live action
73,24,Liar Liar,1997,PG-13,Tom Shadyac,Jim Carrey,Maura Tierney,Amanda Donohoe,Jennifer Tilly,86,"Comedy, Fantasy            ",70,6.9,"310,958",181.41,MARCH,Universal Pictures / Imagine Entertainment,Live action
74,30,Air Force One,1997,R,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,124,"Action, Drama, Thriller            ",61,6.5,"197,847",172.96,JULY,Columbia Pictures / Beacon Pictures,Live action
75,42,As Good as It Gets,1997,PG-13,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,139,"Comedy, Drama, Romance            ",67,7.7,"300,279",148.48,DECEMBER,TriStar Pictures,Live action
76,54,Good Will Hunting,1997,R,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård,126,"Drama, Romance            ",70,8.3,"965,481",138.43,DECEMBER,Miramax Films,Live action
77,68,My Best Friend's Wedding,1997,PG-13,P.J. Hogan,Julia Roberts,Dermot Mulroney,Cameron Diaz,Rupert Everett,105,"Comedy, Drama, Romance            ",50,6.3,"144,124",127.12,JUNE,TriStar Pictures / Zucker Brothers Productions,Live action
78,72,Tomorrow Never Dies,1997,PG-13,Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,119,"Action, Adventure, Thriller            ",52,6.5,"196,014",125.33,DECEMBER,United Artists,Live action
79,91,Face/Off,1997,R,John Woo,John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola,138,"Action, Crime, Sci-Fi            ",82,7.3,"379,182",112.23,JUNE,Paramount Pictures / Touchstone Pictures,Live action
80,16,Saving Private Ryan,1998,R,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,169,"Drama, War            ",91,8.6,"1,386,912",216.54,JULY,DreamWorks / Paramount Pictures / Amblin Entertainment / Mutual Film Company,Live action
81,19,Armageddon,1998,PG-13,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler,151,"Action, Adventure, Sci-Fi            ",42,6.7,"427,691",201.57,JULY,Touchstone Pictures / Jerry Bruckheimer Films / Valhalla Motion Pictures,Live action
82,27,There's Something About Mary,1998,R,Bobby Farrelly,Peter Farrelly,Cameron Diaz,Matt Dillon,Ben Stiller,119,"Comedy, Romance            ",69,7.1,"313,061",176.48,JULY,20th Century Fox,Live action
83,36,A Bug's Life,1998,G,John Lasseter,Andrew Stanton,Kevin Spacey,David Foley,Julia Louis-Dreyfus,95,"Animation, Adventure, Comedy            ",77,7.2,"294,443",162.8,NOVEMBER,Walt Disney Pictures / Pixar Animation Studios,Animation
84,37,The Waterboy,1998,PG-13,Frank Coraci,Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk,90,"Comedy, Sport            ",41,6.1,"166,004",161.49,NOVEMBER,Touchstone Pictures,Live action
85,46,Doctor Dolittle,1998,PG-13,Betty Thomas,Eddie Murphy,Peter Boyle,Ossie Davis,Oliver Platt,85,"Comedy, Family, Fantasy            ",46,5.4,"97,904",144.16,,,
86,49,Rush Hour,1998,PG-13,Brett Ratner,Jackie Chan,Chris Tucker,Ken Leung,Tom Wilkinson,98,"Action, Comedy, Crime            ",60,7.0,"270,637",141.15,SEPTEMBER,New Line Cinema / Roger Birnbaum Productions,Live action
87,51,Deep Impact,1998,PG-13,Mimi Leder,Robert Duvall,Téa Leoni,Elijah Wood,Morgan Freeman,120,"Action, Drama, Sci-Fi            ",40,6.2,"180,035",140.46,MAY,Paramount Pictures / DreamWorks,Live action
88,57,Godzilla,1998,PG-13,Roland Emmerich,Matthew Broderick,Jean Reno,Maria Pitillo,Hank Azaria,139,"Action, Sci-Fi, Thriller            ",32,5.4,"194,825",136.31,MAY,TriStar Pictures / Centropolis Entertainment,Live action
89,60,Patch Adams,1998,PG-13,Tom Shadyac,Robin Williams,Daniel London,Monica Potter,Philip Seymour Hoffman,115,"Biography, Comedy, Drama            ",25,6.8,"114,751",135.03,DECEMBER,Universal Pictures / Blue Wolf Productions,Live action
90,1,Star Wars: Episode I - The Phantom Menace,1999,PG,George Lucas,Ewan McGregor,Liam Neeson,Natalie Portman,Jake Lloyd,136,"Action, Adventure, Fantasy            ",51,6.5,"805,544",474.54,,,
91,6,The Sixth Sense,1999,PG-13,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,107,"Drama, Mystery, Thriller            ",64,8.2,"991,076",293.51,AUGUST,Hollywood Pictures / Spyglass Entertainment / The Kennedy/Marshall Company,Live action
92,9,Toy Story 2,1999,G,John Lasseter,Ash Brannon,Lee Unkrich,Tom Hanks,Tim Allen,92,"Animation, Adventure, Comedy            ",88,7.9,"581,601",245.85,NOVEMBER,Walt Disney Pictures / Pixar Animation Studios,Animation
93,17,Austin Powers: The Spy Who Shagged Me,1999,PG-13,Jay Roach,Mike Myers,Heather Graham,Michael York,Robert Wagner,95,"Action, Adventure, Comedy            ",59,6.6,"235,354",206.04,JUNE,New Line Cinema,Live action
94,31,The Matrix,1999,R,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,136,"Action, Sci-Fi            ",73,8.7,"1,906,469",171.48,MARCH,Warner Bros. Pictures / Village Roadshow Pictures / Silver Pictures,Live action
95,32,Tarzan,1999,G,Chris Buck,Kevin Lima,Tony Goldwyn,Minnie Driver,Brian Blessed,88,"Animation, Adventure, Comedy            ",79,7.3,"228,047",171.09,JUNE,Walt Disney Pictures,Animation
96,34,Big Daddy,1999,PG-13,Dennis Dugan,Adam Sandler,Joey Lauren Adams,Jon Stewart,Cole Sprouse,93,"Comedy, Drama            ",41,6.4,"219,264",163.48,JUNE,Columbia Pictures,Live action
97,39,The Mummy,1999,PG-13,Stephen Sommers,Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,124,"Action, Adventure, Fantasy            ",48,7.1,"431,229",155.25,MAY,Universal Pictures / Alphaville Films,Live action
98,41,Runaway Bride,1999,PG,Garry Marshall,Julia Roberts,Richard Gere,Joan Cusack,Hector Elizondo,116,"Comedy, Romance            ",39,5.6,"99,600",152.26,JULY,Paramount Pictures / Touchstone Pictures / Lakeshore Entertainment,Live action
99,50,The Blair Witch Project,1999,R,Daniel Myrick,Eduardo Sánchez,Heather Donahue,Michael C. Williams,Joshua Leonard,81,"Horror, Mystery            ",81,6.5,"263,815",140.54,JULY,Artisan Entertainment,Live action
